LABELS
SEPARATOR TAB
DATA
Alc_Sutterella	Sutterella
Bac_Bacteroides	Bacteroides
Bar_Barnesiella	Barnesiella
Bif_Bifidobacterium	Bifidobacterium
Chr_Christensenellaceae_Group	Christensenellaceae_Group
Clo_Clostridium	Clostridium
Cor_Collinsella	Collinsella
Des_Bilophila	Bilophila
Ent_Citrobacter	Citrobacter
Ent_Enterobacter	Enterobacter
Ent_Enterobacteriaceae_Group	Enterobacteriaceae_Group
Ent_Escherichia_Shigella	Escherichia
Ent_Klebsiella	Klebsiella
Ent_Pantoea	Pantoea
Ery_Erysipelotrichaceae_Group	Erysipelotrichaceae_Group
Lac_Anaerostipes	Anaerostipes
Lac_Blautia	Blautia
Lac_Coprococcus	Coprococcus
Lac_Dorea	Dorea
Lac_Eubacterium	Eubacterium
Lac_Fusicatenibacter	Fusicatenibacter
Lac_Lachnoclostridium	Lachnoclostridium
Lac_Lachnospira	Lachnospira
Lac_Lachnospiraceae_Group	Lachnospiraceae_Group
Lac_Moryella	Moryella
Lac_Pseudobutyrivibrio	Pseudobutyrivibrio
Lac_Roseburia	Roseburia
Lac_Ruminococcus	Ruminococcus
Lep_Leptotrichia	Leptotrichia
Odo_Butyricimonas	Butyricimonas
Odo_Odoribacter	Odoribacter
Par_Paraprevotella	Paraprevotella
Pas_Haemophilus	Haemophilus
Pep_Intestinibacter	Intestinibacter
Pep_Peptoclostridium	Peptoclostridium
Por_Coprobacter	Coprobacter
Por_Parabacteroides	Parabacteroides
Pre_Prevotella	Prevotella
Rhi_Agrobacterium	Agrobacterium
Rho_Thalassospira	Thalassospira
Rik_Alistipes	Alistipes
Rum_Anaerotruncus	Anaerotruncus
Rum_Eubacterium	Eubacterium
Rum_Faecalibacterium	Faecalibacterium
Rum_Oscillospira	Oscillospira
Rum_Ruminiclostridium	Ruminiclostridium
Rum_Ruminococcaceae_Group	Ruminococcus
Rum_Ruminococcus	Ruminococcus
Rum_Subdoligranulum	Subdoligranulum
S24_S24_7_Group	S24_7
Sph_Kaistobacter	Kaistobacter
Str_Streptococcus	Streptococcus
Vei_Dialister	Dialister
Vei_Megamonas	Megamonas
Vei_Phascolarctobacterium	Phascolarctobacterium
Vei_Veillonella	Veillonella
Ver_Akkermansia	Akkermansia
Vic_Victivallis	Victivallis
